generation,mean_fitness_mean,mean_fitness_std,distance_from_optimum_mean,distance_from_optimum_std,phenotype_variance_mean,phenotype_variance_std,population_size_mean,population_size_std,n_parents_mean,n_parents_std,median_offspring_mean,median_offspring_std,max_offspring_mean,max_offspring_std,extinct_count
912,0.41059674811443736,0.11972659866268713,0.13244960130694167,0.025847335581929216,0.0008570181875335867,0.0004864149461362425,100.0,0.0,63.9,2.5278449319529077,1.05,0.21794494717703372,4.45,0.7399324293474372,0
913,0.40795448531198664,0.11048515196236372,0.13182840367139698,0.02297588940488995,0.0010195505818228331,0.0005998194064333089,100.0,0.0,63.65,2.4550967394381837,1.0,0.0,4.55,0.8046738469715541,0
914,0.40765100408875343,0.11023228302818992,0.13192934599749281,0.02251519998106666,0.0010157997459485026,0.0005558453232239174,100.0,0.0,63.65,2.6697378148424984,1.05,0.21794494717703372,4.0,0.6324555320336759,0
915,0.4125248787931941,0.12009466426226402,0.1313183025100651,0.024783712301661365,0.0010454229635829201,0.0006337768866752795,100.0,0.0,62.9,2.773084924772409,1.1,0.3,4.25,1.0428326807307104,0
916,0.43571258956884373,0.13767260260208497,0.1276025530222548,0.027256553153903407,0.0009415659893187897,0.0004423168068585493,100.0,0.0,63.55,3.9808918598726084,1.05,0.21794494717703372,4.0,0.8366600265340756,0
917,0.44475963594162504,0.15278576233643482,0.12669891157018368,0.029118611848317794,0.0008501564398471752,0.0004394212953027908,100.0,0.0,63.8,2.8913664589601917,1.1,0.3,4.0,0.6324555320336759,0
918,0.4471084847859726,0.15552792179308225,0.12634958298338744,0.029489012754430534,0.0008550385196573621,0.00042533589891715473,100.0,0.0,63.05,3.323777970924051,1.1,0.3,4.35,0.5722761571129799,0
919,0.44081301682296736,0.1570446978416991,0.1274631030116051,0.030003910872828776,0.0008904506347816157,0.0004893733112269674,100.0,0.0,64.0,2.6832815729997477,1.0,0.0,4.3,0.6403124237432849,0
920,0.44325711279150515,0.16491178337553164,0.12716132862474613,0.03276177360218911,0.0009547857997255048,0.0006486960883582915,100.0,0.0,63.25,2.9979159427842537,1.025,0.10897247358851683,4.3,0.7810249675906654,0
921,0.4548928044260969,0.18439323762766247,0.1246557802880702,0.03663785241911876,0.001013330447720358,0.0003699755233497716,100.0,0.0,62.95,3.840247387864485,1.1,0.3,4.3,0.8426149773176358,0
